Backscattered Energy
Energy (KeV)	Hits (Normalized)
11.61	0.000903329
11.62	0.00103238
11.63	0.000888991
11.64	0.000831637
11.65	0.000817298
11.66	0.000802959
11.67	0.000874652
11.68	0.000960684
11.69	0.000860314
11.7	0.000817298
11.71	0.000888991
11.72	0.00106105
11.73	0.000759944
11.74	0.00114708
11.75	0.000888991
11.76	0.000831637
11.77	0.000845975
11.78	0.000745605
11.79	0.000688251
11.8	0.000989361
11.81	0.00108973
11.82	0.00101804
11.83	0.000860314
11.84	0.000831637
11.85	0.000888991
11.86	0.000989361
11.87	0.000975022
11.88	0.000788621
11.89	0.000932007
11.9	0.000788621
11.91	0.00070259
11.92	0.00107539
11.93	0.00111841
11.94	0.000917668
11.95	0.000989361
11.96	0.000845975
11.97	0.000817298
11.98	0.000946345
11.99	0.00106105
12	0.000788621
12.01	0.000888991
12.02	0.000903329
12.03	0.000888991
12.04	0.000645235
12.05	0.000788621
12.06	0.000874652
12.07	0.000788621
12.08	0.000874652
12.09	0.000903329
12.1	0.000946345
12.11	0.000903329
12.12	0.00104672
12.13	0.000845975
12.14	0.000975022
12.15	0.000745605
12.16	0.000932007
12.17	0.000716928
12.18	0.0010037
12.19	0.000975022
12.2	0.00103238
12.21	0.000874652
12.22	0.000960684
12.23	0.000659574
12.24	0.00101804
12.25	0.000960684
12.26	0.000960684
12.27	0.000802959
12.28	0.000731267
12.29	0.000731267
12.3	0.0010037
12.31	0.000960684
12.32	0.000946345
12.33	0.000874652
12.34	0.000975022
12.35	0.000874652
12.36	0.000888991
12.37	0.000903329
12.38	0.00104672
12.39	0.000975022
12.4	0.000975022
12.41	0.000975022
12.42	0.0010037
12.43	0.000903329
12.44	0.000975022
12.45	0.00104672
12.46	0.000831637
12.47	0.000716928
12.48	0.000975022
12.49	0.000903329
12.5	0.00104672
12.51	0.00103238
12.52	0.000989361
12.53	0.000874652
12.54	0.000788621
12.55	0.000903329
12.56	0.000888991
12.57	0.000831637
12.58	0.000860314
12.59	0.000831637
12.6	0.000946345
12.61	0.000917668
12.62	0.000860314
12.63	0.000860314
12.64	0.000874652
12.65	0.000817298
12.66	0.000802959
12.67	0.00106105
12.68	0.000932007
12.69	0.000946345
12.7	0.000845975
12.71	0.00107539
12.72	0.000860314
12.73	0.000817298
12.74	0.000774282
12.75	0.000802959
12.76	0.000888991
12.77	0.000831637
